label,message
ham,Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
ham,U dun say so early hor... U c already then say...
ham,Nah I don't think he goes to usf, he lives around here though
spam,FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv
ham,Even my brother is not like to speak with me. They treat me like aids patent.
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham,I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.
spam,SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info
spam,URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
ham,I HAVE A DATE ON SUNDAY WITH WILL!!
spam,XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL
ham,Oh k...i'm watching here:)
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
ham,Fine if that's the way u feel. That's the way its gota b
spam,England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND, 6*150p
ham,Is that seriously how you spell his name?
ham,I'm going to try for 2 months ha ha only joking
ham,So ü pay first lar... Then when is da stock comin...
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
ham,Ffffffffff. Alright no way I can meet up with you sooner?
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
ham,Lol your always so convincing.
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my love ?
ham,I'm back &amp; we're packing the car now, I'll let you know once I'm in the city
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
ham,Wait that's still not all that clear
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?
ham,K tell me anything about you.
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
ham,Yup... Ok i go home look at the timings then i msg u again... Xuhui going to learn on 2nd may...
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
ham,Watching new season of desperate housewives...
ham,Ok i am on the way to home.
ham,Are you coming to the theatre?
ham,I'm not sure, I'll have to check with the others
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
ham,Hahaha..use your brain dear...
ham,Well keep in mind I've only got enough gas for one more round trip starvation ration currently so I have to be selective about how I use it
ham,Sorry, I'll call later
ham,I cant talk now...i will call you back later
ham,I'm in a meeting, can I call you back in a bit?
ham,Sorry, I'm in a meeting. I'll call you back later.
spam,You have a voice mail message from. Please call back.
ham,What's the plan for this weekend?
ham,Let me know when you're free.
spam,URGENT! Your account has been suspended. Please click this link to verify your account.
... (and 5500+ more rows)
